iter	Passed	Remaining
0	56	28094
1	58	14510
2	60	10028
3	62	7806
4	65	6441
5	66	5479
6	68	4794
7	69	4278
8	70	3871
9	71	3524
10	73	3258
11	74	3036
12	76	2862
13	78	2711
14	79	2572
15	80	2447
16	82	2332
17	83	2237
18	84	2151
19	86	2071
20	87	1999
21	88	1932
22	90	1868
23	91	1815
24	92	1766
25	94	1720
26	95	1676
27	97	1638
28	98	1597
29	99	1565
30	101	1533
31	102	1500
32	103	1468
33	105	1449
34	106	1419
35	108	1400
36	109	1375
37	111	1354
38	112	1334
39	114	1311
40	115	1288
41	116	1270
42	117	1250
43	119	1233
44	120	1215
45	121	1198
46	122	1181
47	123	1165
48	125	1152
49	126	1139
50	128	1128
51	129	1115
52	130	1102
53	131	1089
54	133	1077
55	134	1066
56	135	1055
57	137	1045
58	138	1035
59	139	1023
60	141	1016
61	142	1008
62	144	1000
63	145	992
64	146	982
65	148	973
66	149	965
67	150	957
68	152	950
69	153	942
70	154	934
71	156	931
72	158	925
73	160	921
74	161	914
75	162	907
76	163	900
77	165	893
78	166	887
79	167	881
80	169	874
81	170	869
82	171	862
83	173	857
84	174	853
85	176	847
86	177	842
87	178	835
88	179	830
89	180	824
90	182	819
91	183	814
92	184	809
93	186	805
94	187	800
95	189	795
96	190	792
97	192	788
98	193	783
99	194	778
100	195	773
101	197	769
102	199	768
103	200	764
104	202	760
105	203	757
106	205	753
107	207	753
108	209	750
109	210	746
110	211	742
111	213	739
112	214	735
113	216	732
114	217	727
115	218	723
116	219	719
117	221	716
118	222	712
119	224	709
120	225	706
121	227	703
122	228	700
123	230	697
124	231	695
125	233	692
126	234	689
127	236	686
128	237	683
129	239	680
130	240	678
131	242	675
132	243	672
133	245	670
134	246	667
135	248	665
136	250	663
137	253	663
138	254	661
139	256	659
140	257	656
141	259	653
142	260	650
143	261	647
144	262	643
145	264	641
146	265	638
147	267	635
148	268	632
149	269	629
150	271	626
151	272	623
152	274	621
153	275	618
154	276	616
155	277	612
156	279	609
157	280	607
158	282	604
159	283	601
160	284	598
161	285	595
162	286	592
163	288	590
