Feature,Importance
Conversion_Rate,7.878128386802731
Audience,7.374526315137049
Channel,6.892912579082751
Impressions,6.369524457884007
Conversions,6.3177915696203035
CTR_ROAS,6.249380964483615
CampaignType,5.700979882814017
Device,5.616822618403374
CreativeType,5.46487440357126
ROAS,5.353908524838393
CTR,4.951771821348934
Revenue_to_Spend,4.826075578032669
Clicks,4.518155128495208
Spend_per_Conversion,4.2205830170504335
CPC,3.799481262045447
Spend,3.6588805738734673
Revenue_per_Click,3.4722931498104175
Log_Spend,2.6124322924129046
Revenue,2.403758478215704
Log_Revenue,2.3177189960773017
